question,options,meta_info,answer
"A previously healthy 7-month-old boy presents with fever, chills, cough, runny nose, and watery eyes. He has a blood pressure of 115/76 mm Hg, heart rate of 84/min, and respiratory rate of 14/min. Physical examination reveals clear lung sounds bilaterally. His mother reports that his brother has been having similar symptoms. A nasal swab is obtained, and he is diagnosed with influenza. Assuming that this is the child’s first exposure to the influenza virus, which of the following immune mechanisms will most likely function to combat the viral infection?","[""Eosinophil-mediated lysis of infected cells"", ""Complement-mediated lysis of infected cells"", ""Presentation of viral peptides on MHC-II of CD4+ T cells"", ""Natural killer cell-induced lysis of infected cells""]",step1,D
"A 16-year-old boy comes to the physician because of a 1-week history of difficulty swallowing, a foreign body sensation at the back of his throat, and trouble breathing at night. He has just recovered from an upper respiratory tract infection that began 5 days ago. On questioning, he reports that he has had similar symptoms in the past each time he has had an upper respiratory tract infection. Physical examination shows a 3 x 2-cm, nontender, rubbery midline mass at the base of the tongue. His skin is dry and cool. An image of his technetium-99m pertechnetate scan is shown. Which of the following is the most likely underlying cause of this patient’s condition?","[""Ductal obstruction of the sublingual salivary glands"", ""Chronic infection of the palatine and lingual tonsils"", ""Arrested endodermal migration from pharyngeal floor"", ""Persistent epithelial tract between the foramen cecum and thyroid isthmus""]",step1,C
A 17-year-old girl comes to the physician for an annual health maintenance examination. She feels well. She has no history of serious illness and her only medication is an oral contraceptive. Her mother was diagnosed with breast cancer at the age of 42 years. She is currently sexually active with 1 male partner and uses condoms inconsistently. Her immunizations are up-to-date. Her vital signs are within normal limits. Physical and pelvic examinations shows no abnormalities. An HIV test is negative. Which of the following is the most appropriate next step in management?,"[""Nucleic acid amplification testing"", ""PAP smear"", ""Rapid plasma reagin test"", ""Herpes simplex virus 2 serology""]",step2&3,A
"A 60-year-old man presents to the emergency department with shortness of breath, cough, and fever. He states that his symptoms started a few days ago and have been progressively worsening. The patient recently returned from international travel. He works from home and manages a chicken coop as a hobby. He has a past medical history of an ST-elevation myocardial infarction and recently has had multiple sick contacts. His temperature is 102°F (38.9°C), blood pressure is 187/108 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 93% on room air. A radiograph of the chest reveals bilateral pleural effusions. Pleurocentesis demonstrates the findings below:

Protein ratio (pleural/serum): 0.8
Lactate dehydrogenase ratio (pleural/serum): 0.75
Glucose: 25 mg/dL

Further analysis reveals a lymphocytic leukocytosis of the pleural fluid. Which of the following is the next best step in management?","[""Azithromycin and ceftriaxone"", ""Azithromycin and vancomycin"", ""Furosemide"", ""Rifampin, isoniazid, pyrazinamide, and ethambutol""]",step2&3,D
"A 35-year-old female presents to the emergency room complaining of diarrhea and dehydration. She has been experiencing severe watery diarrhea for the past 3 days. She reports that she has been unable to leave the bathroom for more than a few minutes at a time. She noticed earlier today that there was some blood on her toilet paper after wiping. She recently returned from a volunteer trip to Yemen where she worked at an orphanage. Her past medical history is notable for psoriasis for which she takes sulfasalazine. The patient drinks socially and does not smoke. Her temperature is 99°F (37.2°C), blood pressure is 100/55 mmHg, pulse is 130/min, and respirations are 20/min. Mucus membranes are dry. Her eyes appear sunken. Capillary refill is 4 seconds. The patient is started on intravenous fluid resuscitation. Which of the following processes is capable of transmitting the genetic material for the toxin responsible for this patient’s condition?","[""Transformation"", ""Conjugation"", ""Transduction"", ""Transposition""]",step1,C
"A healthy 20-year-old male college student attempts to climb Mount Everest and travels to the Tibetan plateau by plane. Upon landing, he feels increasingly dizzy and fatigued. He notices that he is breathing faster than usual. What is the initial stimulus for the most likely acid-base disorder?","[""Decreased partial pressure of alveolar oxygen"", ""Increasing arterial partial pressure of carbon dioxide"", ""Worsened diffusion limitation of oxygen"", ""Undiagnosed atrial septal defect""]",step1,A
A 29-year-old woman presents for a follow-up visit after an emergency appendectomy. The laparoscopic procedure went well with no complications. Physical examination reveals the surgical site is slightly tender but is healing appropriately. She is delighted that the operation went well and offers you a cake and VIP tickets to a musical concert. Which of the following is the most appropriate response?,"[""\""Thank you, I will enjoy these gifts immensely.\"""", ""\""No, I cannot accept these gifts, please take them with you as you leave.\"""", ""\""Thank you, but I cannot accept the tickets you offered. Accepting such a generous gift is against our policy. However, I will gladly accept your cake and distribute it among the staff.\"""", ""\""Can you get another ticket for my friend?\""""]",step1,C
"A 48-year-old man comes to the physician because of increasing generalized fatigue for 1 month. He has been unable to do normal household duties or go for his evening walks during this period. He has hypertension, hyperlipidemia, and type 2 diabetes mellitus. His father died of liver cancer at the age of 60 years. He does not smoke. He drinks one alcoholic beverage daily. Current medications include atorvastatin, enalapril, metformin, and insulin glargine. He is 170 cm (5 ft 7 in) tall and weighs 100 kg (220 lb); BMI is 34.6 kg/m2. His temperature is 36.6°C (97.9°F), pulse is 116/min, and blood pressure is 140/90 mm Hg. Examination shows hyperpigmented skin over the nape of the neck and extremities. The liver is palpated 4 cm below the right costal margin. Laboratory studies show:
Hemoglobin 10.6 g/dL
Mean corpuscular volume 87 μm3
Leukocyte count 9,700/mm3
Platelet count 182,000/mm3
Serum
Glucose 213 mg/dL
Creatinine 1.4 mg/dL
Albumin 4.1 mg/dL
Total bilirubin 1.1 mg/dL
Alkaline phosphatase 66 U/L
AST 100 U/L
ALT 69 U/L
γ-glutamyl transferase 28 U/L (N=5–50)
Hepatitis B surface antigen negative
Hepatitis C antibody negative
Iron studies
Iron 261 μg/dL
Ferritin 558 ng/dL
Transferrin saturation 83%
Anti-nuclear antibody negative
Which of the following is the most appropriate next step to confirm the diagnosis?""","[""CT of the abdomen"", ""Abdominal ultrasonography"", ""Liver biopsy"", ""Genetic testing""]",step2&3,D
"A 35-year-old man presents to his primary care provider in Philadelphia with a skin rash on his right thigh. He reports that the rash appeared 3 days ago. He recently returned from a weeklong trip to his vacation home in central Pennsylvania. He denies pain, numbness, paresthesias, itchiness, or burning around the rash. He does not recall finding any ticks on his body. He otherwise feels well. His past medical history is notable for gout. He takes allopurinol. He is an avid hiker and spends 3 months out of the year hiking. He does not smoke and drinks alcohol socially. On exam, he has a bullseye-like circular erythematous rash on the anterolateral aspect of his right thigh. The doctor decides to perform a new serum test for Lyme disease that was trialed at the same hospital in Philadelphia, where it was shown to have a sensitivity of 91% and specificity of 94%. The prevalence of Lyme disease in the area is among the highest in the country. How would the sensitivity and specificity of this new test change if it were performed on a patient in Texas, an area with a very low prevalence of Lyme disease?","[""A"", ""B"", ""D"", ""E""]",step2&3,A
"A graduate student is developing the research design for a current project on the detection of ovarian tumor markers in mice. The main method requires the use of chromogenic substrates, in which a reaction may be interpreted according to an enzyme-mediated color change. The detection of which of the substances below is routinely used in clinical practice and applies the above-described method?","[""ABO blood types"", ""Anti-D antibodies"", ""P24 antigen"", ""Epstein-Barr virus infection""]",step1,C
A 31-year-old woman with multiple sclerosis comes to the physician because of a 4-day history of cramps in her left leg. Physical examination shows flexion of the left hip and increased tone in the thigh muscles. A local anesthetic block of which of the following nerves would most likely improve this patient's condition the most?,"[""Obturator nerve"", ""Inferior gluteal nerve"", ""Femoral nerve"", ""Superior gluteal nerve""]",step1,C
"A 47-year-old woman presents to the clinic for a regular health check-up. She is currently asymptomatic but gives a history of recurrent bouts of right upper abdominal pain for 3 years. She further describes the pain as intermittent and localized. She denies any fever, vomiting, difficulty breathing, abnormal bowel habits, hematemesis, or melena. She currently takes multivitamins only. She used to take combined oral contraceptive pills but stopped 3 years ago. Her temperature is 36.7°C (98.1°F), the blood pressure is 126/88 mm Hg, the pulse rate is 84/min, and the respiratory rate is 12/min. Her blood work is normal. An abdominal X-ray is shown in the picture. Based on the imaging findings, the patient is at risk for developing which of the following?","[""Hepatocellular carcinoma"", ""Peritonitis secondary to hydatid cyst rupture"", ""Aortic aneurysm rupture"", ""Carcinoma of the gallbladder""]",step1,D
"A 67-year-old woman comes to the physician because of intermittent chest pain and dizziness on exertion for 6 months. Her pulse is 76/min and blood pressure is 125/82 mm Hg. Cardiac examination shows a grade 3/6, late-peaking, crescendo-decrescendo murmur heard best at the right upper sternal border. An echocardiogram confirms the diagnosis. Three months later, the patient returns to the physician with worsening shortness of breath for 2 weeks. An ECG is shown. Which of the following changes is most likely responsible for this patient's acute exacerbation of symptoms?","[""Impaired pulmonary artery outflow"", ""Decreased left ventricular preload"", ""Decreased impulse conduction across the AV node"", ""Increased systemic vascular resistance""]",step1,B
"A 61-year-old woman comes to the physician for a follow-up examination 1 week after undergoing right-sided radical mastectomy and axillary lymph node dissection for breast cancer. She says that she has been unable to comb her hair with her right hand since the surgery. Physical examination shows shoulder asymmetry. She is unable to abduct her right arm above 90 degrees. When she pushes against a wall, there is protrusion of the medial aspect of the right scapula. Injury to which of the following nerves is the most likely cause of this patient's condition?","[""Upper trunk of the brachial plexus"", ""Long thoracic nerve"", ""Suprascapular nerve"", ""Thoracodorsal nerve""]",step1,B
"A 24-year-old woman presents to her primary care physician for a wellness visit. She says that she has been generally healthy but has noticed difficulty concentrating, becoming increasingly fatigued, and a 15-pound weight increase over the course of a few months. She also reports mild constipation and joint pain. Approximately 6-months ago, she experienced palpitations, increased stool frequency, and a hand tremor. Her past medical history is significant for asthma. Her father is not living and had Parkinson disease, and her mother has poorly controlled rheumatoid arthritis. She is currently sexually active in a monogamous relationship and uses contraception consistently. She denies cigarette smoking and occasionally drinks wine. She experimented once with lysergic acid diethylamide 6 years ago. Her temperature is 99°F (37.2°C), blood pressure is 127/98 mmHg, pulse is 55/min, and respirations are 13/min. On physical exam, the patient has slow speech and movement. She has tenderness to palpation of her wrist and ankle joints. She has delayed relaxation of deep tendon reflexes. Which of the following will most likely be found in this patient?","[""Elevated TSH"", ""High Patient Health Questionnaire-9 (PHQ-9) score"", ""Positive anti-CCP antibodies"", ""Positive urine toxicology""]",step2&3,A
"A parent-teacher conference is called to discuss the behavior of a 9-year-old boy. According to the boy's teacher, he has become progressively more disruptive during class. He is performing poorly in school and has trouble focusing. He is destructive to classroom property, tore a classmate's art project, and takes other children's lunches regularly. He is avoided by his classmates. His mother reports that her son can ""sometimes be difficult."" Recently he placed a rubber band around the cats tail, resulting in gangrene. What is the most likely diagnosis?","[""Conduct disorder"", ""Oppositional defiant disorder"", ""Antisocial personality disorder"", ""Attention deficit disorder""]",step1,A
"A 66-year-old man presents to the emergency department with dyspnea. Two days ago, he hosted his grandchild's birthday party, and since has noticed general malaise, fever, and dry cough. He does not know if he feels more dyspneic while supine or standing but has noticed difficulty breathing even while watching television. He has a past medical history of congestive heart failure and hypertension, for which he takes aspirin, metoprolol, furosemide, lisinopril, and spironolactone as prescribed. His blood pressure is 90/50 mmHg, pulse is 120/min, and respirations are 30/min. His radial pulse is barely palpable, and his wrists and ankles are cold and clammy. Physical exam reveals a S3 and S4 with a soft holosystolic murmur at the apex, decreased breath sounds up to the middle lung fields, jugular venous distention to the auricles, and 3+ pitting edema to the mid thighs. EKG shows ST depressions consistent with demand ischemia. Bedside echocardiogram shows global akinesis with an ejection fraction (EF) of 20%; previous reports show EF at 40%. A portable chest radiograph shows bilateral pulmonary edema. Metoprolol is held, dobutamine and furosemide drips are started, and BiPAP is started at 20/5 cm H2O. After 15 minutes, the nurse reports that urine output is minimal and blood pressure is now 75/40 mmHg and pulse is 130/min. What is the best next step in management?","[""Resume home metoprolol"", ""Decrease furosemide rate"", ""Decrease dobutamine rate"", ""Decrease positive inspiratory pressure""]",step2&3,D
A medical student is studying human physiology. She learns that there is a membrane potential across cell membranes in excitable cells. The differential distribution of anions and cations both inside and outside the cells significantly contributes to the genesis of the membrane potential. Which of the following distributions of anions and cations best explains the above phenomenon?,"[""High concentration of Na+ outside the cell and high concentration of K+ inside the cell"", ""High concentration of K+ outside the cell and low concentration of K+ inside the cell"", ""High concentration of Ca2+ outside the cell and high concentration of Cl- inside the cell"", ""Low concentration of Cl- outside the cell and high concentration of Cl- inside the cell""]",step1,A
"A 32-year-old man comes to the emergency department because of worsening shortness of breath and a productive cough for 3 days. He sustained trauma to the right hemithorax during a fight 3 weeks ago. He had significant pain and mild shortness of breath following the incident but did not seek medical care. He does not smoke or drink alcohol. He is a construction worker. His temperature is 38.4°C (101.1°F), pulse is 95/min, respirations are 18/min, and blood pressure is 120/75 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 96%. Pulmonary examination shows decreased breath sounds over the right lower lung fields. CT scan of the chest shows fractures of the right 7th and 8th ribs, right pleural splitting and thickening, and a dense fluid collection in the pleural space. Which of the following is the most likely diagnosis?","[""Viral pleurisy"", ""Lung abscess"", ""Pleural empyema"", ""Mesothelioma""]",step2&3,C
"A 45-year-old woman presents to the clinic with a variety of complaints on different areas of her body, including telangiectasias on both the upper and lower extremities, bluish discoloration of the fingertips when exposed to cold, and burning midsternal chest pain. She is a tobacco smoker and works as a school teacher. After evaluation, an anti-centromere antibody test is ordered, and returns with an elevated titer. Which of the following symptoms are least likely to be seen in this patient's condition?","[""Dysphagia"", ""Erythematous periorbital rash"", ""Spasm of blood vessels in response to cold or stress"", ""Thickening and tightening of the skin on the fingers""]",step1,B
"A 44-year-old man presents to a clinic for the evaluation of difficulty swallowing for the past few days. He says that he has noticed progressively worsening chest pain when he attempts to swallow solids or liquids. He works from a home office, has not had any recent sick contacts, and is currently not sexually active. His medical history includes AIDS. His current medications include emtricitabine, rilpivirine, and tenofovir. His temperature is 38.1°C (100.6°F),  pulse is 72/min, respirations are 18/min, and blood pressure is 136/84 mm Hg. A physical examination is notable for a dry mouth with red mucosa and no distinct plaques or patches, and a supple neck with no masses or cervical lymphadenopathy. An esophagogastroduodenoscopy shows small white patches within the esophageal lumen. A biopsy of one of the lesions is performed and the microscopic appearance of the finding is shown below. Which of the following is the most likely diagnosis?","[""Cytomegalovirus esophagitis"", ""Esophageal candidiasis"", ""Herpes esophagitis"", ""Medication-induced esophagitis""]",step1,B
"A 26-year-old woman with poor prenatal care and minimal antenatal screening presents to the emergency department in labor. Shortly thereafter, she delivers a baby girl who subsequently demonstrates symptoms of chorioretinitis on examination. A series of postpartum screening questions is significant only for the presence of multiple cats in the mother’s household. The clinical team orders an enhanced MRI examination of the infant’s brain which reveals hydrocephalus, multiple punctate intracranial calcifications, and 2 sub-cortical ring-enhancing lesions. Which is the most likely diagnosis?","[""Toxoplasmosis"", ""Rubella"", ""HSV"", ""Syphilis""]",step2&3,A
"Image A depicts the distribution of the lab value of interest in 250 patients. Given that this is not a normal (i.e. Gaussian) distribution, how many patients are contained in the portion highlighted blue?","[""125 patients"", ""140 patients"", ""250 patients"", ""Not enough information provided""]",step1,A
"A 30-year-old woman is undergoing work up for progressive weakness. She reports that at the end of the work day, her ""eyelids droop"" and her ""eyes cross,"" but in the morning she feels ""ok."" She reports that her legs feel heavy when she climbs the stairs of her house to go to sleep at night. As part of her work up, the physician has her hold her gaze toward the ceiling, and after a minute, her lids become ptotic. She is given an IV medication and her symptoms resolve, but return 10 minutes later. Which of the following medications was used in the diagnostic test performed for this patient?","[""Physostigmine"", ""Pyridostigmine"", ""Edrophonium"", ""Echothiophate""]",step1,C
"A 4th grade class in Salem, Massachusetts has 20 students. Due to recent media coverage of the fallacious association between vaccines and autism, none of the students have been immunized against influenza this year. Fortunately, up to this point none of the students has come down with the flu. During the first week of flu season, however, 2 students contract influenza. In the second week, 3 more students contract influenza. And in the third week, 5 more students contract influenza. The other students remained healthy throughout the rest of the flu season. In this class, what was the risk of contracting influenza during the second week of the flu season?","[""0.1"", ""0.17"", ""0.25"", ""0.5""]",step1,B
"A 55-year-old patient is brought to the emergency department because he has had sharp chest pain for the past 3 hours. He reports that he can only take shallow breaths because deep inspiration worsens the pain. He also reports that the pain increases with coughing. Two weeks ago, he underwent cardiac catheterization for an acute myocardial infarction. Current medications include aspirin, ticagrelor, atorvastatin, metoprolol, and lisinopril. His temperature is 38.54°C (101.1°F), pulse is 55/min, respirations are 23/min, and blood pressure is 125/75 mm Hg. Cardiac examination shows a high-pitched scratching sound best heard when the patient is sitting upright and during expiration. An ECG shows diffuse ST elevations and ST depression in aVR and V1. An echocardiography shows no abnormalities. Which of the following is the most appropriate treatment in this patient?","[""Start heparin infusion"", ""Administer nitroglycerin"", ""Increase aspirin dose"", ""Perform CT angiography""]",step2&3,C
"A 54-year-old man is brought to the emergency department 30 minutes after being hit by a car while crossing the street. He had a left-sided tonic-clonic seizure and one episode of vomiting while being transported to the hospital. On arrival, he is not oriented to person, place, or time. Physical examination shows flaccid paralysis of all extremities. A CT scan of the head is shown. This patient's symptoms are most likely the result of a hemorrhage in which of the following structures?","[""Into the ventricular system"", ""Between the skull and the dura mater"", ""Into the cerebral parenchyma"", ""Between the arachnoid mater and the pia mater""]",step1,D
"An investigator is developing a new vaccine. After injecting the agent, the immune response is recorded by measuring vaccine-specific antibodies at subsequent timed intervals. To induce the maximum immunogenic response, this vaccine should have which of the following properties?","[""Foreign intact polysaccharide bound to protein"", ""Chemically inactivated microorganism"", ""Foreign intact polysaccharide"", ""Weakened live microorganisms""]",step1,D
"A 28-year-old woman follows up at an outpatient surgery clinic with an abnormal scarring of her incisional wound from an abdominal surgical procedure  6 months ago. She gives a history of a wound infection with a purulent discharge 1 week after surgery. On examination of the scar, a dense, raised, healed lesion is noted at the incision site. She also complains of an occasional itching sensation over the scar. There is no history of such scar changes in her family. An image of the lesion is given below. Which of the following statements best describe the scar abnormality?","[""The scar has hair follicles and other adnexal glands within."", ""There is excessive scar tissue projecting beyond the level of the surrounding skin, but not extending into the underlying subcutaneous tissue."", ""Increased prevalence of this type of scar has no genetic basis or linkage."", ""This scar tissue is limited within the borders of the traumatized area.""]",step1,B
"A 49-year-old woman comes to the physician because of a 4-month history of a dry cough and shortness of breath on exertion. She also reports recurrent episodes of pain, stiffness, and swelling in her wrist and her left knee over the past 6 months. She had two miscarriages at age 24 and 28. Physical examination shows pallor, ulcerations on the palate, and annular hyperpigmented plaques on the arms and neck. Fine inspiratory crackles are heard over bilateral lower lung fields on auscultation. Which of the following additional findings is most likely in this patient?","[""Decreased right atrial pressure"", ""Increased airway resistance"", ""Decreased diffusing capacity"", ""Increased lung compliance""]",step1,C
"A 24-year-old woman comes to the emergency department with her boyfriend 2 hours after an episode of loss of consciousness. She was seated and was being tattooed on her right upper flank when she became diaphoretic, pale, and passed out. According to her boyfriend, the patient slipped to the floor and her arms and legs moved in a jerky fashion for a few seconds. She regained consciousness within half a minute and was alert and fully oriented immediately. She has no history of serious illness. She works as an event manager and has had more stress than usual due to a recent concert tour. She appears well. Her temperature is 37°C (98.4°F), pulse is 68/min, respirations are 16/min, and blood pressure is 120/72 mm Hg. Her cardiopulmonary examination shows no abnormalities. Neurologic examination shows no focal findings. An ECG shows an incomplete right bundle branch block. Which of the following is the most likely diagnosis?","[""Vasovagal syncope"", ""Orthostatic syncope"", ""Cardiac arrhythmia"", ""Cardiac structural abnormality\n\""""]",step2&3,A
