question_id,question,options,answer,answer_index,cot_content,category,src,label,option_description
2061,Discuss three indicators of emotion.,"['Mood swings, depression, anxiety'
 'Social media usage, internet browsing habits, television viewing preferences'
 'Intelligence, memory, reaction time'
 'Speech patterns, tone of voice, cadence' 'Happiness, sadness, anger'
 'Weather conditions, time of day, day of the week'
 'Personal reports, observed behaviors and physiological indicators'
 'Blood type, hair color, handedness' 'Eye color, height, weight'
 'Clothing style, food preferences, musical taste']",Answer: G,6,,psychology,stemez-Psychology,G,"A:Mood swings, depression, anxiety
B:Social media usage, internet browsing habits, television viewing preferences
C:Intelligence, memory, reaction time
D:Speech patterns, tone of voice, cadence
E:Happiness, sadness, anger
F:Weather conditions, time of day, day of the week
G:Personal reports, observed behaviors and physiological indicators
H:Blood type, hair color, handedness
I:Eye color, height, weight
J:Clothing style, food preferences, musical taste"
1729,Which of the following is not within the power of a federal subpoena to command a person to do at a specified time and place?,"['Submit to a physical or mental examination.'
 'Disclose classified national security information.'
 'Reveal attorney-client privileged communications.'
 'Permit the inspection of premises.' 'Perform community service.'
 'Surrender personal assets for seizure.'
 'Attend and testify as to persons and/or events related to a cause of action.'
 'Participate in a law enforcement sting operation.'
 ""Produce designated documents, electronically stored information, or tangible things in that person's possession, custody, or control.""]",Answer: A,0,,law,ori_mmlu-professional_law,A,"A:Submit to a physical or mental examination.
B:Disclose classified national security information.
C:Reveal attorney-client privileged communications.
D:Permit the inspection of premises.
E:Perform community service.
F:Surrender personal assets for seizure.
G:Attend and testify as to persons and/or events related to a cause of action.
H:Participate in a law enforcement sting operation.
I:Produce designated documents, electronically stored information, or tangible things in that person's possession, custody, or control."
5415,"Bale Co. incurred $100,000 of acquisition costs related to the purchase of the net assets of Dixon Co. The $100,000 should be","['Treated as a separate asset and depreciated over its useful life'
 'Capitalized as part of goodwill and tested annually for impairment'
 'Capitalized as part of the cost of investment and tested annually for impairment'
 'Expensed as incurred in the subsequent period'
 'Allocated on a pro rata basis to the monetary assets acquired.'
 'Capitalized as part of inventory and expensed as incurred'
 'Capitalized as an other asset and amortized over five years.'
 'Expensed over the next five years'
 'Expensed as incurred in the current period'
 'Allocated on a pro rata basis to the nonmonetary assets acquired.']",Answer: I,8,,other,ori_mmlu-professional_accounting,I,"A:Treated as a separate asset and depreciated over its useful life
B:Capitalized as part of goodwill and tested annually for impairment
C:Capitalized as part of the cost of investment and tested annually for impairment
D:Expensed as incurred in the subsequent period
E:Allocated on a pro rata basis to the monetary assets acquired.
F:Capitalized as part of inventory and expensed as incurred
G:Capitalized as an other asset and amortized over five years.
H:Expensed over the next five years
I:Expensed as incurred in the current period
J:Allocated on a pro rata basis to the nonmonetary assets acquired."
11066,What are the two principal answers to whether life has any meaning for us?,"[""the pessimist'sview and the optimist'sview""
 ""the existentialist's view and the nihilist's view""
 'the deterministic view and the free will view'
 'the materialistic view and the spiritual view'
 ""the empiricist's view and the rationalist's view""
 'the external view and the internal view'
 'the theistic view and the agnostics view'
 ""the monist's view and the dualist's view""
 ""the relativist's view and the absolutist's view""
 'the religious view and the liberal view']",Answer: A,0,,philosophy,ori_mmlu-philosophy,A,"A:the pessimist'sview and the optimist'sview
B:the existentialist's view and the nihilist's view
C:the deterministic view and the free will view
D:the materialistic view and the spiritual view
E:the empiricist's view and the rationalist's view
F:the external view and the internal view
G:the theistic view and the agnostics view
H:the monist's view and the dualist's view
I:the relativist's view and the absolutist's view
J:the religious view and the liberal view"
8748,"Determine the multiplicity of the root ξ = 1, of the polynomial P(x) = x^5 - 2x^4 + 4x^3 - x^2 - 7x + 5 = 0 using synthetic division. What is P'(2) + P''(2)? Please return the decimal number.",['180' '210' '200' '175' '150' '190' '158' '163' '172' '145'],Answer: H,7,,math,theoremQA-Math,H,"A:180
B:210
C:200
D:175
E:150
F:190
G:158
H:163
I:172
J:145"
3558,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. For the reaction $\mathrm{C}_2 \mathrm{H}_5 \mathrm{OH}(\mathrm{l})+3 \mathrm{O}_2(\mathrm{~g}) \rightarrow 2 \mathrm{CO}_2(\mathrm{~g})+3 \mathrm{H}_2 \mathrm{O}(\mathrm{g})$, $\Delta_{\mathrm{r}} U^\ominus=-1373 \mathrm{~kJ} \mathrm{~mol}^{-1}$ at $298 \mathrm{~K}$, calculate $\Delta_{\mathrm{r}} H^{\ominus}$.","['-1400$\\mathrm{~kJ} \\mathrm{~mol}^{-1}$' '-1415 kJ mol^-1'
 '-1340 kJ mol^-1' '-1390 kJ mol^-1'
 '-1320$\\mathrm{~kJ} \\mathrm{~mol}^{-1}$' '-1335 kJ mol^-1'
 '-1385$\\mathrm{~kJ} \\mathrm{~mol}^{-1}$' '-1375 kJ mol^-1'
 '-1420 kJ mol^-1' ' -1368$\\mathrm{~kJ} \\mathrm{~mol}^{-1}$']",Answer: J,9,,chemistry,scibench-atkins,J,"A:-1400$\mathrm{~kJ} \mathrm{~mol}^{-1}$
B:-1415 kJ mol^-1
C:-1340 kJ mol^-1
D:-1390 kJ mol^-1
E:-1320$\mathrm{~kJ} \mathrm{~mol}^{-1}$
F:-1335 kJ mol^-1
G:-1385$\mathrm{~kJ} \mathrm{~mol}^{-1}$
H:-1375 kJ mol^-1
I:-1420 kJ mol^-1
J: -1368$\mathrm{~kJ} \mathrm{~mol}^{-1}$"
7634,Suppose the reserve ratio is 10 percent and the Fed buys $1 million in Treasury securities from commercial banks. If money demand is perfectly elastic which of the following is likely to occur?,"['Money supply increases by $1 million, lowering the interest rate and increasing AD.'
 'Money supply decreases by $10 million raising the interest rate and decreasing AD.'
 'Money supply increases by $10 million lowering the interest rate and increasing AD.'
 'Money supply remains constant, the interest rate falls and AD increases.'
 'Money supply remains constant the interest rate does not fall and AD does not increase.'
 'Money supply increases by $20 million, lowering the interest rate and increasing AD.'
 'Money supply increases by $10 million, the interest rate falls and AD does not increase.'
 'Money supply increases by $10 million the interest rate does not fall and AD does not increase.'
 'Money supply decreases by $1 million, raising the interest rate and decreasing AD.'
 'Money supply decreases by $20 million, raising the interest rate and decreasing AD.']",Answer: H,7,,economics,ori_mmlu-high_school_macroeconomics,H,"A:Money supply increases by $1 million, lowering the interest rate and increasing AD.
B:Money supply decreases by $10 million raising the interest rate and decreasing AD.
C:Money supply increases by $10 million lowering the interest rate and increasing AD.
D:Money supply remains constant, the interest rate falls and AD increases.
E:Money supply remains constant the interest rate does not fall and AD does not increase.
F:Money supply increases by $20 million, lowering the interest rate and increasing AD.
G:Money supply increases by $10 million, the interest rate falls and AD does not increase.
H:Money supply increases by $10 million the interest rate does not fall and AD does not increase.
I:Money supply decreases by $1 million, raising the interest rate and decreasing AD.
J:Money supply decreases by $20 million, raising the interest rate and decreasing AD."
9620,"What must be the speed v of a lead bullet if it melts when striking a steel slab? The initial temperature of the bullet is T_0 = 300° K, its melting point is T_1 = 700° K, its heat of melting q = 5 cal gr^-1, and its specific heat c = 0.03 cal gr^-1 K°^-1.","['420 m/sec' '450 m/sec' '500 m/sec' '380 m/sec' '400 m/sec' '300 m/sec'
 '350 m/sec' '275 m/sec' '320 m/sec' '340 m/sec']",Answer: D,3,,physics,stemez-Physics,D,"A:420 m/sec
B:450 m/sec
C:500 m/sec
D:380 m/sec
E:400 m/sec
F:300 m/sec
G:350 m/sec
H:275 m/sec
I:320 m/sec
J:340 m/sec"
5757,In the United States what is the first day of spring?,"['15-Mar' '30-Apr' '21-May' '30-Mar' '1-May' '21-Mar' '1-Apr' '21-Feb'
 '21-Apr' '1-Mar']",Answer: F,5,,other,ori_mmlu-miscellaneous,F,"A:15-Mar
B:30-Apr
C:21-May
D:30-Mar
E:1-May
F:21-Mar
G:1-Apr
H:21-Feb
I:21-Apr
J:1-Mar"
4804,"This question refers to the following information.
""In Northern India the existence of separate States at this period is usually little more than a question of words. A zamindar who paid revenue to the Mogul was clearly in a position of dependence, and if he wished to establish a claim to sovereignty, the first step was to refuse, or omit to pay revenue. Such an omission might, however, arise from various other causes, and it is probable that in Rajputana, Central India, and Chota Nagpur there were numerous chiefs and tribes occupying what constitutional lawyers would regard as an anomalous position, sometimes paying the stipulated revenue, sometimes in open rebellion, and sometimes enjoying practical independence because the Mogul authorities found it inconvenient to undertake active measures of coercion.""
W.H. Moreland, India at the Death of Akbar, 1920
Zamindars had an ability ""to establish a claim to sovereignty"" largely due to the Mughal Empire's policy of","['censorship' 'military conscription' 'universal taxation'
 'diplomatic immunity' 'non-interference' 'feudal system'
 'religious toleration' 'free trade' 'martial law' 'suffrage']",Answer: G,6,,history,ori_mmlu-high_school_world_history,G,"A:censorship
B:military conscription
C:universal taxation
D:diplomatic immunity
E:non-interference
F:feudal system
G:religious toleration
H:free trade
I:martial law
J:suffrage"
497,Replacing supply chains with _______ enhances the importance of product _______as well as a fundamental redesign of every activity a firm engages in that produces _______.,"['Supply loops, Reuse, Profit'
 'Global production networks, Redesign, Profit'
 'Supply loops, Recapture, Waste'
 'Local production networks, Recapture, Waste'
 'Local production networks, Redesign, Profit'
 'Supply chains, Redesign, Profit'
 'Global production networks, Reuse, Waste'
 'Global production networks, Recapture, Waste'
 'Supply loops, Redesign, Profit' 'Supply chains, Recapture, Waste']",Answer: C,2,,business,ori_mmlu-business_ethics,C,"A:Supply loops, Reuse, Profit
B:Global production networks, Redesign, Profit
C:Supply loops, Recapture, Waste
D:Local production networks, Recapture, Waste
E:Local production networks, Redesign, Profit
F:Supply chains, Redesign, Profit
G:Global production networks, Reuse, Waste
H:Global production networks, Recapture, Waste
I:Supply loops, Redesign, Profit
J:Supply chains, Recapture, Waste"
3006,Explain how the planarian changes its body shape.,"['By extending and retracting spines along its body'
 'Through the use of cilia on its underside for movement and shape alteration'
 'By secreting a mucus layer to change body contours'
 'By absorbing water and expanding'
 'By coordinated contraction and relaxation of circular, longitudinal, and dorsoventral muscles, the body shape of a planarian can be varied.'
 'By shifting the distribution of body fluids to different segments'
 'By changing the thickness of its skin'
 'By rapid cell division and growth in specific body regions'
 'By inflating air sacs within its body'
 'By altering its genetic structure']",Answer: E,4,,biology,stemez-Biology,E,"A:By extending and retracting spines along its body
B:Through the use of cilia on its underside for movement and shape alteration
C:By secreting a mucus layer to change body contours
D:By absorbing water and expanding
E:By coordinated contraction and relaxation of circular, longitudinal, and dorsoventral muscles, the body shape of a planarian can be varied.
F:By shifting the distribution of body fluids to different segments
G:By changing the thickness of its skin
H:By rapid cell division and growth in specific body regions
I:By inflating air sacs within its body
J:By altering its genetic structure"
12229,"Air is flowing perpendicularly to a pipe, transferring heat by forced convection. The pipe has a diameter 4 in. and a surface temperature of 90°F. The cooling air with flow velocity of 15 ft/sec, has a bulk temperature of 75°F. Calculate the rate of heat transfer per unit length of pipe.","['78 Btu/hr-ft' '80 Btu/hr-ft' '71 Btu/hr-ft' '65 Btu/hr-ft'
 '60 Btu/hr-ft' '92 Btu/hr-ft' '85 Btu/hr-ft' '95 Btu/hr-ft'
 '75 Btu/hr-ft' '68 Btu/hr-ft']",Answer: C,2,,engineering,stemez-HeatTransfer,C,"A:78 Btu/hr-ft
B:80 Btu/hr-ft
C:71 Btu/hr-ft
D:65 Btu/hr-ft
E:60 Btu/hr-ft
F:92 Btu/hr-ft
G:85 Btu/hr-ft
H:95 Btu/hr-ft
I:75 Btu/hr-ft
J:68 Btu/hr-ft"
2357,A person who has had an opportunity to contribute to the establishmentof objectives regarding his or her performance willhave a greater degree of commitment and motivation in attemptingto achieve those objectives. State and discuss thetheory underlying this statement. How is itimplemented practicallyto motivate employees ?,"['The theory is the Hierarchy of Needs by Maslow, and it is implemented by providing employees with a path for career progression and fulfilling higher-level needs.'
 'The theory is implemented through punishments and rewards'
 'The theory is known as the Two-Factor Theory by Herzberg, which is applied by addressing hygiene factors and providing intrinsic motivators such as recognition and achievement.'
 ""The theory is implemented through increasing employee's workload""
 'The theory is implemented through strict supervision'
 'The theory is known as the Equity Theory, which is put into practice by ensuring fair treatment of employees and balancing input and output ratios among workers.'
 'The theory is the Self-Determination Theory, which is implemented by promoting autonomy, competence, and relatedness in the workplace.'
 'The theory is the Social Learning Theory, and it is put into practice by using role models and mentors to demonstrate desirable behaviors and outcomes.'
 'The theory underlying this statement is Management by Objectives (MBO), which involves mutual goal-setting between employees and management. It is practically implemented through programs such as job simplification, job enrichment, suggestion plans, and job redesign.'
 'The theory is based on the Expectancy Theory of motivation, implemented through clear communication of performance criteria and linking outcomes directly to performance.']",Answer: I,8,,psychology,stemez-Psychology,I,"A:The theory is the Hierarchy of Needs by Maslow, and it is implemented by providing employees with a path for career progression and fulfilling higher-level needs.
B:The theory is implemented through punishments and rewards
C:The theory is known as the Two-Factor Theory by Herzberg, which is applied by addressing hygiene factors and providing intrinsic motivators such as recognition and achievement.
D:The theory is implemented through increasing employee's workload
E:The theory is implemented through strict supervision
F:The theory is known as the Equity Theory, which is put into practice by ensuring fair treatment of employees and balancing input and output ratios among workers.
G:The theory is the Self-Determination Theory, which is implemented by promoting autonomy, competence, and relatedness in the workplace.
H:The theory is the Social Learning Theory, and it is put into practice by using role models and mentors to demonstrate desirable behaviors and outcomes.
I:The theory underlying this statement is Management by Objectives (MBO), which involves mutual goal-setting between employees and management. It is practically implemented through programs such as job simplification, job enrichment, suggestion plans, and job redesign.
J:The theory is based on the Expectancy Theory of motivation, implemented through clear communication of performance criteria and linking outcomes directly to performance."
651,"The Amalgamated Loan Company received a 6-months note for $1,500, bearing 6% interest and dated May 17, 1976. On September 22, 1976, the note was discounted at 8%. What were the proceeds?","['$1,510.90' '$1,545' '$1,600' '$1,550.50' '$1,475.82' '$1,500'
 '$1,490.30' '$1,565.00' '$1,525.77' '$1,570.25']",Answer: I,8,,business,stemez-Business,I,"A:$1,510.90
B:$1,545
C:$1,600
D:$1,550.50
E:$1,475.82
F:$1,500
G:$1,490.30
H:$1,565.00
I:$1,525.77
J:$1,570.25"
